recipe_slug	rating
falafel	0.0
spamburger	1.0
bacon-fried-rice	1.0
chicken-fingers	0.5
apple-crisp	0.5
cranberry-apple-crisp	0.5
bacon-chocolate-chip-cookies	1.0
sujebi	0.5
pasta-primavera	0.5
ramen	0.5
brownies	1.0
bacon-wrapped-scallops	1.0
bacon-egg-muffins	1.0
breakfast-burritos	1.0
bolognese-sauce	0.5
croissants	0.5
bacon-souffle	1.0
souffle	1.0
chocolate-souffle	1.0
butter-croissants	0.5
pickled-green-beans	0.5
fried-oysters	0.5
peanut-butter-brownies	1.0
almond-chip-cookies	0.5
guacamole	0.0
brioche-bread	0.5
brioche-bread-with-chocolate	1.0
asparagus-quiche	1.0
asparagus-burger	0.5
ma-la-chicken	0.5
cold-noodles-with-tomatoes	0.5
tamales	0.5
enchiladas	0.5
tacos	1.0
burritos	0.5
peanut-butter-cupcakes	0.5
pickled-asparagus	0.5
chocolate-peanut-butter-cake	1.0
udon	0.0
vegetable-lasagna	0.5
maple-bacon-donuts	1.0
maple-bacon-pancakes	1.0
spinach-and-ricotta-stuffed-shells	0.5
quesadillas	1.0
pico-de-gallo	0.0
nachos	1.0
cold-soba-noodles-with-tomato-and-cucumber	0.0
fajitas	0.5
loaded-nachos	0.5
lasagna	1.0
chicken-nuggets	0.5
pain-au-chocolat	1.0
nacho-dip	1.0
nacho-salad	0.5
nacho-casserole	0.5
nacho-fries	1.0
tempura-udon	0.5
peach-crisp	0.5
apple-pie	0.5
blueberry-crisp	0.5
berry-crumble	0.5
strawberry-rhubarb-crisp	0.5
peach-cobbler	0.5
cranberry-sauce	0.5
cherry-cobbler	0.5
apple-crumble	0.5
chocolate-croissants	1.0
french-toast	0.5
chocolate-babka	1.0
cinnamon-babka	0.5
blueberry-crumble	0.5
spam-musubi	1.0
taco-salad	0.5
chiles-rellenos	1.0
almond-croissants	0.5
cranberry-relish	0.5
ma-la-beef	0.5
chocolate-cake	1.0
spinach-quiche	1.0
mushroom-quiche	0.5
quiche-lorraine	1.0
croissant-aux-amandes	0.5
danishes	0.5
spinach-and-feta-quiche	0.5
cold-sesame-noodles	0.5
soba-noodle-salad-with-peanut-dressing	0.0
dan-dan-noodles	0.5
vanilla-souffle	0.5
bacon-wrapped-dates	1.0
cherry-pie	0.5
berry-crisp	0.5
bacon-and-egg-breakfast-sandwich	1.0
bacon-wrapped-shrimp-skewers	1.0
bacon-wrapped-chicken	1.0
bacon-wrapped-asparagus	1.0
bacon-mac-and-cheese	1.0
chicken-alfredo-lasagna	0.5
classic-beef-lasagna	0.5
vegetarian-mushroom-lasagna	0.5
spinach-and-ricotta-lasagna	0.5
